      datetime       |  open   |  high   |   low   |  close  | volume |  delta   |   gamma   |  theta   |   vega   | implied_volatility 
---------------------+---------+---------+---------+---------+--------+----------+-----------+----------+----------+--------------------
 2022-12-07 09:40:00 | 14.3900 | 14.3900 | 14.3900 | 14.3900 |      2 | 0.997900 | -0.150400 | 0.051200 | 0.155800 |           0.649900
 2022-12-07 09:45:00 | 14.2200 | 14.2200 | 12.8800 | 12.8800 |    422 | 0.993000 | -0.413100 | 0.154600 | 0.155000 |           0.725000
 2022-12-07 09:50:00 | 12.7300 | 12.9300 | 12.5800 | 12.7400 |    455 | 0.996900 | -0.185900 | 0.073200 | 0.155600 |           0.599900
 2022-12-07 09:55:00 | 12.9500 | 13.1000 | 12.8700 | 13.0100 |     71 | 0.996800 | -0.192800 | 0.076600 | 0.155600 |           0.599900
 2022-12-07 10:00:00 | 11.9100 | 11.9100 | 11.9100 | 11.9100 |      1 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 10:10:00 | 13.5000 | 13.5000 | 13.5000 | 13.5000 |      2 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 10:20:00 | 13.5300 | 13.5300 | 13.5300 | 13.5300 |      3 | 0.997400 | -0.168500 | 0.061900 | 0.155700 |           0.625000
 2022-12-07 10:35:00 | 13.8300 | 13.8300 | 13.4300 | 13.4300 |     15 | 0.996900 | -0.197700 | 0.073000 | 0.155600 |           0.649900
 2022-12-07 10:40:00 | 13.6200 | 13.8500 | 13.6200 | 13.8500 |     15 | 0.992200 | -0.441600 | 0.170900 | 0.154800 |           0.706200
 2022-12-07 10:55:00 | 15.1100 | 15.1100 | 15.1100 | 15.1100 |      1 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:05:00 | 14.7100 | 14.7100 | 14.7100 | 14.7100 |      5 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:10:00 | 14.3800 | 14.3800 | 14.2000 | 14.2200 |     35 | 0.997200 | -0.190900 | 0.067300 | 0.155700 |           0.674900
 2022-12-07 11:15:00 | 14.3500 | 14.4500 | 14.0400 | 14.0800 |     60 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:20:00 | 13.9200 | 13.9200 | 12.9000 | 12.9400 |    170 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:25:00 | 12.7800 | 12.8100 | 12.6000 | 12.6000 |    110 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:30:00 | 12.5400 | 12.5400 | 12.5000 | 12.5000 |     20 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:40:00 | 13.1400 | 13.2600 | 13.1400 | 13.2600 |    300 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 11:55:00 | 13.3900 | 13.5700 | 13.3900 | 13.5700 |     10 | 0.996800 | -0.190200 | 0.075400 | 0.155600 |           0.599900
 2022-12-07 12:05:00 | 12.9800 | 12.9800 | 12.9800 | 12.9800 |      1 | 0.992500 | -0.417100 | 0.164900 | 0.154900 |           0.687500
 2022-12-07 12:25:00 | 12.9600 | 12.9600 | 12.9600 | 12.9600 |      5 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 12:30:00 | 12.8900 | 12.8900 | 12.7600 | 12.7600 |     10 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 12:35:00 | 12.9600 | 12.9700 | 12.9500 | 12.9500 |     15 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 13:05:00 | 13.4600 | 13.5600 | 13.4600 | 13.5600 |     10 | 0.992600 | -0.421400 | 0.162300 | 0.154900 |           0.706200
 2022-12-07 13:30:00 | 14.0500 | 14.0500 | 14.0500 | 14.0500 |      5 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 13:35:00 | 13.8500 | 13.8500 | 13.8500 | 13.8500 |      5 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 13:40:00 | 13.6900 | 13.9400 | 13.6900 | 13.9000 |     23 | 0.997400 | -0.169900 | 0.062600 | 0.155700 |           0.625000
 2022-12-07 13:45:00 | 13.8100 | 13.9000 | 13.8000 | 13.8000 |     15 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 13:50:00 | 13.6300 | 13.6300 | 13.3800 | 13.3800 |     55 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 13:55:00 | 13.2900 | 13.2900 | 13.0100 | 13.0100 |     30 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 14:00:00 | 13.0300 | 13.0300 | 12.4700 | 12.5300 |    202 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 14:10:00 | 12.8800 | 12.9200 | 12.8800 | 12.8800 |    270 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 15:15:00 | 12.8500 | 12.8500 | 12.8500 | 12.8500 |      1 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 15:25:00 | 12.6000 | 12.6000 | 12.6000 | 12.6000 |      1 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 15:35:00 | 12.9100 | 12.9100 | 12.8300 | 12.8300 |      6 | 1.000000 |  0.000000 | 0.000000 | 0.000000 |                   
 2022-12-07 15:40:00 | 12.9200 | 12.9200 | 12.9200 | 12.9200 |      1 | 0.997300 | -0.169200 | 0.064900 | 0.155700 |           0.599900
 2022-12-07 15:55:00 | 13.3500 | 13.3500 | 13.3500 | 13.3500 |      2 | 0.997500 | -0.160500 | 0.060500 | 0.155700 |           0.599900
(36 rows)

