datetime,strike,option_type,open,high,low,close,volume,trade_count
2022-12-15 09:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 10:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 12:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 13:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 14:30:00,359.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 09:30:00,359.0,P,0.01,0.01,0.01,0.01,9,1
2022-12-15 10:30:00,359.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,359.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 12:30:00,359.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 13:30:00,359.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 14:30:00,359.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 09:30:00,360.0,C,30.78,30.78,30.78,30.78,1,1
2022-12-15 10:30:00,360.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,360.0,C,29.19,29.19,29.19,29.19,1,1
2022-12-15 12:30:00,360.0,C,29.09,29.09,29.09,29.09,10,1
2022-12-15 13:30:00,360.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 14:30:00,360.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 09:30:00,360.0,P,0.01,0.01,0.01,0.01,1,1
2022-12-15 10:30:00,360.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,360.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 12:30:00,360.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 13:30:00,360.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 14:30:00,360.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 09:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 10:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 12:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 13:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 14:30:00,361.0,C,0.0,0.0,0.0,0.0,0,0
2022-12-15 09:30:00,361.0,P,0.01,0.01,0.01,0.01,1,1
2022-12-15 10:30:00,361.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 11:30:00,361.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 12:30:00,361.0,P,0.0,0.0,0.0,0.0,0,0
2022-12-15 13:30:00,361.0,P,0.0,0.0,0.0,0.0,0,0
